LotArea,Street,BldgType,OverallQual,OverallCond,RoofStyle,ExterQual,ExterCond,Foundation,TotalBsmtSF,Heating,HeatingQC,CentralAir,GrLivArea,Bath,KitchenQual,GarageArea,SaleCondition,SalePrice,age,age_RemodAdd_DateSold
9.042158378735948,1,0,2.1972245773362196,1.9459101490553132,1,2,4,2,6.754604099487962,1,0,1,7.445417556701687,1.6094379124341003,2,6.309918278226516,4,12.24769911637256,1.9459101490553132,1.9459101490553132
9.169726689090886,1,0,2.0794415416798357,2.302585092994046,1,3,4,1,7.142036574706803,1,0,1,7.142036574706803,1.3862943611198906,3,6.135564891081739,4,12.109016442313738,3.4965075614664802,3.4965075614664802
9.328301169609748,1,0,2.1972245773362196,1.9459101490553132,1,2,4,2,6.826545223556594,1,0,1,7.488852955733459,1.6094379124341003,2,6.413458957167357,4,12.317171167298682,2.1972245773362196,2.0794415416798357
9.164505835632383,1,0,2.1972245773362196,1.9459101490553132,1,3,4,0,6.630683385642372,1,2,1,7.449498005382849,1.0986122886681098,2,6.467698726104354,0,11.849404844423074,4.532599493153256,3.6375861597263857
9.565353936588249,1,0,2.302585092994046,1.9459101490553132,1,2,4,2,7.044905117129371,1,0,1,7.696212639346407,1.6094379124341003,2,6.731018100482083,4,12.429220196836383,2.302585092994046,2.302585092994046
9.5551350238842,1,0,1.9459101490553132,1.9459101490553132,1,3,4,5,6.682108597449809,1,0,1,7.218176838403408,1.3862943611198906,3,6.1779441140506,4,11.870606902224587,2.8903717578961645,2.772588722239781
9.21890360263667,1,0,2.302585092994046,1.9459101490553132,1,2,4,2,7.431299675155903,1,0,1,7.4360278163518485,1.3862943611198906,2,6.45833828334479,4,12.634606283893019,1.6094379124341003,1.3862943611198906
9.248021438943871,1,0,2.1972245773362196,2.0794415416798357,1,3,4,1,7.011213987350367,1,0,1,7.645875825184813,1.6094379124341003,3,6.186208623900494,4,12.206077645517674,3.6375861597263857,3.6375861597263857
8.719644119505357,1,0,2.1972245773362196,1.9459101490553132,1,3,4,0,6.860663671448287,1,2,1,7.4821189235521155,1.3862943611198906,3,6.152732694704104,0,11.774527900858468,4.3694478524670215,4.0943445622221
8.912203841620542,1,1,1.9459101490553132,2.0794415416798357,1,3,4,0,6.900730664045173,1,0,1,6.983789965258135,1.0986122886681098,3,5.332718793265369,4,11.678448377988165,4.2626798770413155,4.0943445622221
9.323847612769777,1,0,1.9459101490553132,1.9459101490553132,3,3,4,1,6.948897222313312,1,0,1,6.948897222313312,1.0986122886681098,3,5.955837369464831,4,11.771443882099637,3.8066624897703196,3.8066624897703196
9.386476169683052,1,0,2.3978952727983707,1.9459101490553132,3,0,4,2,7.0707241072602764,1,0,1,7.75190533307861,1.6094379124341003,0,6.6039438246004725,5,12.75130259456002,1.0986122886681098,0.6931471805599453
9.47039427731049,1,0,1.9459101490553132,2.0794415416798357,3,3,4,1,6.81783057145415,1,4,1,6.81783057145415,1.0986122886681098,3,5.869296913133774,4,11.87757552297847,3.871201010907891,3.871201010907891
9.273690687476945,1,0,2.1972245773362196,1.9459101490553132,1,2,4,2,7.310550158534422,1,0,1,7.310550158534422,1.3862943611198906,2,6.7357800142423265,5,12.540761149388421,1.0986122886681098,0.6931471805599453
9.298534382712099,1,0,2.0794415416798357,1.9459101490553132,3,3,4,1,7.134890851565884,1,4,1,7.134890851565884,1.3862943611198906,3,5.869296913133774,4,11.964007453736912,3.912023005428146,3.912023005428146
8.719644119505357,1,0,2.1972245773362196,2.302585092994046,1,3,4,0,6.726233402358747,1,0,1,6.752270376141742,1.0986122886681098,3,6.359573868672378,4,11.790564777297387,4.382026634673881,2.0794415416798357
9.32750099174976,1,0,2.0794415416798357,2.1972245773362196,1,3,4,1,6.913737350659685,1,0,1,6.913737350659685,1.0986122886681098,3,6.1779441140506,4,11.91170829631447,3.7376696182833684,3.7376696182833684
9.286653054825347,1,2,1.791759469228055,1.9459101490553132,1,3,4,3,0.6931471805599453,1,4,1,7.168579897264035,1.3862943611198906,3,6.249975242259483,4,11.407576060361786,3.713572066704308,3.713572066704308
9.524932109734822,1,0,1.9459101490553132,1.9459101490553132,1,3,4,2,7.017506142941256,1,0,1,7.017506142941256,1.3862943611198906,2,6.359573868672378,4,11.976665770490767,1.791759469228055,1.791759469228055
8.930890984450878,1,0,1.9459101490553132,2.0794415416798357,3,3,4,1,6.93828448401696,1,4,1,7.201170883281678,1.0986122886681098,3,5.69035945432406,0,11.842236406331555,3.970291913552122,3.828641396489095
9.562193710635698,1,0,2.302585092994046,1.9459101490553132,1,2,4,2,7.05617528410041,1,0,1,7.774015077250727,1.791759469228055,2,6.75110146893676,5,12.692506186542177,1.0986122886681098,0.6931471805599453
8.916103530553727,1,0,2.1972245773362196,2.1972245773362196,1,3,4,2,6.459904454377535,1,0,1,7.01211529430638,1.0986122886681098,2,5.641907070938114,4,11.845109950883979,4.3694478524670215,4.07753744390572
